"Year","Title","Artist","Emotion","Theme","Sadness (AI)","Joy (AI)","Fear (AI)","Disgust (AI)","Anger (AI)"
"1946","Prisoner of Love","Perry Como","Sadness","Ended love","29.35","32.7","16.01","1.59","12.25"
"1947","Near You","Francis Craig","Joy","Love","26.23","36.44","9.48","3.17","6.85"
"1949","Riders in the Sky","Vaughn Monroe Orchestra","Fear","Life","20.42","43.03","23.04","2.03","4.58"
"1950","Goodnight, Irene","Gordon Jenkins and The Weavers","Sadness","Ended love","18.59","57.37","14.56","2.33","6.42"
"1951","Too Young","Nat King Cole","Joy","Love","9.43","53.15","1.95","1.23","1"
"1952","Blue Tango","Leroy Anderson","Joy","Love","12.05","71.12","2.03","0.95","0.96"
"1953","Song from Moulin Rouge","Percy Faith","Sadness","Love","35.25","30.64","22.96","2.35","3.83"
"1954","Little Things Mean a Lot","Kitty Kallen","Joy","Love","20.09","36.95","1.08","1.27","0.81"
"1956","Heartbreak Hotel","Elvis Presley","Fear","Life","51.43","0.69","4.44","1.52","0.41"
"1957","All Shook Up","Elvis Presley","Fear","Love","10.6","38.27","12.54","1.32","3.34"
"1959","The Battle of New Orleans","Johnny Horton","Joy","War","22.47","0.69","8.61","5.81","11.55"
"1961","Tossin' and Turnin'","Bobby Lewis","Joy","Party","11.99","22.62","7.02","5.03","3.32"
"1962","Stranger on the Shore","Mr. Acker Bilk","Sadness","Ended love","42.31","9.83","20.38","1.68","2.69"
"1963","Sugar Shack","Jimmy Gilmer and the Fireballs","Joy","Love","3.61","76.99","4.95","1.92","1.27"
"1963","Surfin' U.S.A","The Beach Boys","Joy","Party","7.47","54.35","3.3","2.22","6.68"
"1964","I Want to Hold Your Hand","The Beatles","Joy","Love","5.26","55.37","11.53","0.71","1.5"
"1965","Wooly Bully","Sam the Sham 
& the Pharaohs","Joy","Party","3.31","5.68","4.35","12.6","15.35"
"1966","The Ballad of the Green Berets","SSgt. Barry Sadler","Joy","War","6.78","24.15","6.47","1.56","3.69"
"1966","California Dreamin'","The Mamas and the Papas","Sadness","Life","19.17","38.15","3.55","0.76","1.85"
"1967","To Sir with Love","Lulu","Joy","Love","11.64","44.83","3.02","7.03","2.84"
"1968","Hey Jude","The Beatles","Fear","Love","34.05","47.11","10.31","1.68","4.41"
"1969","Sugar, Sugar","The Archies","Joy","Love","6.21","93.62","1.75","3.3","0.83"
"1970","Bridge over Troubled Water","Simon & Garfunkel","Sadness","Comfort","33.98","40.35","6.92","0.4","4.38"
"1971","Joy to the World","Three Dog Night","Joy","Happiness","1.65","97.93","0.72","0.35","0.71"
"1972","The First Time Ever I Saw Your Face","Roberta Flack","Joy","Love","6.86","79.17","2.9","0.22","0.73"
